target_title,target_id,target_type,score,status,rewatches,episodes,text
07-Ghost,5525,Anime,0,on_hold,0,0,
Afro Samurai,1292,Anime,0,completed,0,5,
Afro Samurai Movie,13709,Anime,0,completed,0,1,
Afro Samurai Pilot,27939,Anime,0,completed,0,1,
Afro Samurai: Resurrection,4970,Anime,0,completed,0,1,
Ai Shimai 2: Futari no Kajitsu,1635,Anime,0,completed,0,2,
Ai Shimai Tsubomi... Kegashite Kudasai,1636,Anime,0,completed,0,2,
Ai Shimai: Futari no Kajitsu,1634,Anime,0,completed,0,3,
Akame ga Kill!,22199,Anime,0,planned,0,0,
Akane Maniax,281,Anime,0,completed,0,3,
Akiko,2979,Anime,0,completed,0,2,
Ane Jiru 2 The Animation: Shirakawa Sanshimai ni Omakase,9435,Anime,0,planned,0,0,
Angel Beats!,6547,Anime,0,planned,0,0,
Another,11111,Anime,0,completed,0,12,
Another: The Other - Inga,11701,Anime,0,completed,0,1,
Appleseed (Movie),54,Anime,0,dropped,0,0,
Appleseed Alpha,22677,Anime,0,completed,0,1,
Appleseed Saga Ex Machina,2969,Anime,0,completed,0,1,
B-gata H-kei,7817,Anime,0,planned,0,0,
Baccano!,2251,Anime,10,completed,0,13,
Baccano! Specials,3901,Anime,0,completed,0,3,
Bakemonogatari,5081,Anime,10,completed,0,15,
Bakemonogatari Recap,6948,Anime,9,completed,0,1,
Basilisk: Kouga Ninpou Chou,67,Anime,0,dropped,0,0,
Beck,57,Anime,10,completed,0,26,
Beelzebub,9513,Anime,0,planned,0,0,
Bible Black,368,Anime,0,completed,0,6,
Bible Black Gaiden,972,Anime,0,completed,0,2,
Bible Black Only Version,2873,Anime,0,completed,0,2,
Bible Black: Imari Ryoujoku Genba,5347,Anime,0,completed,0,1,
Bible Black: New Testament,1401,Anime,0,completed,0,6,
Bible Black: New Testament Recap,13223,Anime,0,completed,0,1,
Bleach,269,Anime,0,on_hold,0,62,
Blood+,150,Anime,0,completed,0,50,
Blood: The Last Vampire,405,Anime,0,completed,0,1,
Boin,2413,Anime,0,completed,0,2,
Bokura ga Ita,1222,Anime,9,completed,0,26,
Boruto: Naruto the Movie,28755,Anime,0,completed,0,1,
Bungou Stray Dogs: Dead Apple,34944,Anime,0,planned,0,0,
Byousoku 5 Centimeter,1689,Anime,10,completed,0,3,
Cheonnyeon-yeowoo Yeowoobi,2756,Anime,0,completed,0,1,
Chikan Monogatari,2875,Anime,0,completed,0,2,
Chobits,59,Anime,0,completed,0,26,
Chobits Recap,1311,Anime,0,completed,0,1,
Chrno Crusade,60,Anime,0,completed,0,24,
Clannad,2167,Anime,0,completed,0,23,
D.C.: Da Capo,62,Anime,10,completed,0,26,
D.C.if: Da Capo if,5216,Anime,0,completed,0,2,
D.C.II S.S.: Da Capo II Second Season,3627,Anime,0,completed,0,13,
D.C.II: Da Capo II,2595,Anime,0,completed,0,13,
D.C.S.S: Da Capo Second Season,291,Anime,0,completed,0,26,
D.C.S.S: Da Capo Second Season Omake,4508,Anime,0,completed,0,7,
Darker than Black: Kuro no Keiyakusha,2025,Anime,10,completed,0,25,
Darker than Black: Kuro no Keiyakusha - Sakura no Hana no Mankai no Shita,4182,Anime,10,completed,0,1,
Darker than Black: Kuro no Keiyakusha Gaiden,7338,Anime,10,completed,0,4,
Darker than Black: Ryuusei no Gemini,6573,Anime,10,completed,0,12,
Death Note,1535,Anime,0,completed,0,37,
Death Note: Rewrite,2994,Anime,0,completed,0,2,
Devil May Cry,1726,Anime,0,completed,0,12,
Discipline,2432,Anime,0,completed,0,6,
Discipline Zero,7456,Anime,0,completed,0,2,
Dokidoki Oyako Lesson: Oshiete H na Obenkyou,3944,Anime,0,completed,0,2,
Druaga no Tou: The Aegis of Uruk,3230,Anime,0,completed,0,12,
Druaga no Tou: The Aegis of Uruk - Jil no Bouken,4798,Anime,0,completed,0,1,
Druaga no Tou: The Sword of Uruk,4726,Anime,0,planned,0,0,
Durarara!!,6746,Anime,0,completed,0,24,
Durarara!! Specials,8408,Anime,0,completed,0,2,
Durarara!!x2 Shou,23199,Anime,9,completed,0,12,
Eiken: Eikenbu yori Ai wo Komete,788,Anime,0,completed,0,2,
El Cazador de la Bruja,2030,Anime,0,completed,0,26,
Elfen Lied,226,Anime,0,completed,0,13,
"Elfen Lied: Tooriame nite Arui wa, Shoujo wa Ikani Shite Sono Shinjou ni Itatta ka? - Regenschauer",376,Anime,0,completed,0,1,
Ergo Proxy,790,Anime,0,dropped,0,0,
Fairy Tail,6702,Anime,0,planned,0,0,
Fault!! Service: Aratanaru Rival,16638,Anime,0,completed,0,1,
Final Fantasy VII: Advent Children,317,Anime,0,completed,0,1,
Final Fantasy VII: Advent Children - Venice Film Festival Footage,6152,Anime,0,completed,0,1,
Final Fantasy VII: Advent Children Complete,2952,Anime,0,completed,0,1,
First Squad: The Moment of Truth,5178,Anime,2,completed,0,1,
FLCL,227,Anime,0,completed,0,6,
