TMDb ID,IMDb ID,Type,Name,Release Date,Season Number,Episode Number,Rating,Your Rating,Date Rated
86831,tt9561862,animation,"Love, Death & Robots",2019-03-15T00:00:00Z,,,8.207,10.0,2020-07-07T20:18:17Z
67195,tt5114356,tv,Legion,2017-02-08T00:00:00Z,,,7.574,10.0,2020-07-07T20:18:59Z
400928,tt4481414,movies,Gifted,2017-04-12T00:00:00Z,,,8.071,10.0,2020-07-07T20:21:53Z
63247,tt0475784,tv,Westworld,2016-10-02T00:00:00Z,,,8.14,10.0,2020-07-07T20:22:14Z
95941,tt10314462,tv,Zoey's Extraordinary Playlist,2020-01-07T00:00:00Z,,,7.961,10.0,2021-02-19T18:30:35Z
240832,tt2872732,movies,Lucy,2014-07-25T00:00:00Z,,,6.413,10.0,2021-08-21T07:08:31Z
10647,tt0223897,movies,Pay It Forward,2000-10-20T00:00:00Z,,,7.296,10.0,2021-08-21T07:09:54Z
1491,tt0443543,movies,The Illusionist,2006-08-18T00:00:00Z,,,7.294,10.0,2021-08-21T07:10:41Z
1124,tt0482571,movies,The Prestige,2006-10-19T00:00:00Z,,,8.189,10.0,2021-08-21T07:10:53Z
186,tt0425210,movies,Lucky Number Slevin,2006-02-24T00:00:00Z,,,7.5,10.0,2021-08-21T07:11:45Z
453,tt0268978,movies,A Beautiful Mind,2001-12-11T00:00:00Z,,,7.848,10.0,2021-08-21T07:11:59Z
8358,tt0162222,movies,Cast Away,2000-12-22T00:00:00Z,,,7.649,10.0,2021-08-21T07:12:24Z
1954,tt0289879,movies,The Butterfly Effect,2004-01-22T00:00:00Z,,,7.545,10.0,2021-08-21T07:12:40Z
550,tt0137523,movies,Fight Club,1999-10-15T00:00:00Z,,,8.43,10.0,2021-08-21T07:14:18Z
20312,tt0165832,movies,Interstate 60,2002-04-13T00:00:00Z,,,7.306,10.0,2021-08-21T07:19:12Z
601666,tt9893250,movies,I Care a Lot,2021-02-19T00:00:00Z,,,6.684,9.0,2021-02-19T18:29:35Z
203833,tt0816442,movies,The Book Thief,2013-11-08T00:00:00Z,,,7.48,9.0,2021-08-21T07:14:31Z
10201,tt1068680,movies,Yes Man,2008-12-09T00:00:00Z,,,6.626,9.0,2021-08-21T07:14:45Z
152742,tt1924396,movies,The Best Offer,2013-01-01T00:00:00Z,,,7.86,9.0,2021-08-21T07:14:58Z
75638,tt1748179,movies,Red Lights,2012-03-02T00:00:00Z,,,6.16,9.0,2021-08-21T07:15:19Z
75656,tt1670345,movies,Now You See Me,2013-05-29T00:00:00Z,,,7.368,9.0,2021-08-21T07:15:51Z
31011,tt0485947,movies,Mr. Nobody,2009-11-06T00:00:00Z,,,7.86,9.0,2021-08-21T07:18:08Z
497,tt0120689,movies,The Green Mile,1999-12-10T00:00:00Z,,,8.496,9.0,2021-08-21T07:18:19Z
11820,tt0304415,movies,Mona Lisa Smile,2003-12-19T00:00:00Z,,,6.902,9.0,2021-08-21T07:18:29Z
26594,tt0846789,movies,The Secret,2006-03-26T00:00:00Z,,,6.508,9.0,2021-08-21T07:18:58Z
28178,tt1028532,movies,Hachi: A Dog's Tale,2009-06-13T00:00:00Z,,,8.011,9.0,2021-08-21T07:19:30Z
594,tt0362227,movies,The Terminal,2004-06-17T00:00:00Z,,,7.312,9.0,2021-08-21T07:19:43Z
5123,tt0426931,movies,August Rush,2007-11-21T00:00:00Z,,,7.381,9.0,2021-08-21T07:20:31Z
278,tt0111161,movies,The Shawshank Redemption,1994-09-23T00:00:00Z,,,8.713,9.0,2021-08-21T07:20:42Z
162,tt0099487,movies,Edward Scissorhands,1990-12-05T00:00:00Z,,,7.707,9.0,2021-08-21T07:20:54Z
587,tt0319061,movies,Big Fish,2003-12-25T00:00:00Z,,,7.776,9.0,2021-08-21T07:21:07Z
137,tt0107048,movies,Groundhog Day,1993-02-11T00:00:00Z,,,7.577,9.0,2021-08-21T07:21:30Z
